,Unnamed: 0,distance_subway
1626,8016,166
1627,8017,166
1628,8018,166
1629,8019,166
1630,8020,166
1631,8021,166
1632,8022,166
1633,8023,166
1634,8024,166
1635,8025,166
1636,8026,166
1637,8027,166
1638,8028,166
1639,8029,166
1640,8030,166
1641,8031,166
1642,8032,166
1643,8033,166
1644,8034,166
1645,8035,166
1646,8036,166
1647,8037,166
1648,8038,166
1649,8039,166
1650,8040,166
1651,8041,166
1652,8042,166
1653,8043,166
1654,8044,166
1655,8045,166
1656,8046,193
1658,8048,189
1659,8049,193
1661,8051,193
1662,8052,193
1663,8053,193
1664,8054,193
1665,8055,193
1669,8059,193
1670,8060,193
1671,8061,193
1673,8063,193
1674,8064,193
1675,8065,193
1677,8078,367
1679,8083,829
1681,8096,381
1682,8097,138
1683,8099,502
1684,8111,569
1685,8128,47
1687,8184,83
1688,8188,786
1689,8189,1121
1690,8190,141
1691,8194,757
1692,8195,244
1694,8200,380
1695,8205,572
1696,8215,863
1697,8216,351
1700,8224,235
1701,8226,47
1702,8229,2346
1703,8244,435
1704,8259,439
1705,8260,318
1706,8273,450
1707,8277,181
1709,8300,325
1711,8326,548
1713,8328,681
1714,8335,323
1715,8339,4873
1716,8340,4873
1717,8343,726
1718,8344,3495
1719,8346,1683
1720,8346,1683
1721,8358,807
1722,8366,390
1723,8367,3495
1724,8368,3495
1725,8371,681
1726,8372,681
1728,8377,228
1729,8378,3117
1731,8380,3394
1732,8381,4932
1733,8382,4512
1735,8384,2739
1736,8385,2048
1737,8386,2967
1738,8387,680
1739,8388,680
1740,8389,2916
1741,8390,2340
1742,8391,3631
1743,8392,97
1744,8393,1114
1745,8394,3620
1746,8396,469
1747,8397,2753
1748,8398,161
1749,8399,244
1750,8400,484
1751,8401,363
1752,8402,484
1753,8403,484
1754,8411,122
1757,8416,813
1758,8418,219
1760,8420,25
1761,8424,410
1762,8425,5439
1763,8430,369
1764,8435,122
1766,8437,300
1768,8443,96
1769,8460,2945
1770,8466,955
1772,8471,369
1773,8472,551
1774,8473,430
1775,8474,1030
1776,8502,4733
1777,8509,693
1778,8513,1013
1779,8518,97
1780,8528,1053
1781,8593,2725
1782,8594,960
1783,8594,960
1784,8610,760
1785,8611,2377
1786,8612,351
1787,8618,1217
1788,8624,556
1790,8628,4670
1791,8629,719
1792,8646,141
1793,8648,141
1794,8649,218
1796,8708,464
1798,8711,2189
1799,8712,366
1802,8717,706
1804,8838,444
1806,8844,1749
1807,8845,1809
1808,8846,411
1809,8849,213
1811,8875,4903
1812,8876,244
1813,8881,392
1814,8887,244
1815,8896,1262
1816,8897,1262
1817,8905,749
1818,8906,398
1819,8907,3336
1821,8914,164
1822,8924,1318
1823,8924,1318
1824,8932,798
1825,8936,798
1826,8993,413
1827,8998,480
1828,8999,480
1829,9000,480
1830,9001,480
1831,9002,480
1832,9003,480
1833,9004,480
1834,9005,480
1835,9006,480
1836,9007,480
1837,9008,480
1838,9009,480
1839,9010,480
1840,9011,480
1841,9012,480
1842,9013,480
1843,9014,480
1844,9015,480
1845,9016,480
1846,9017,480
1847,9018,480
1848,9019,78
1849,9020,480
1850,9021,480
1851,9022,480
1852,9023,480
1853,9024,480
1854,9025,480
1855,9028,3493
1856,9029,3493
1857,9030,280
1858,9032,104
1859,9033,168
1860,9034,696
1861,9035,162
1862,9036,307
1864,9038,961
1865,9039,357
1866,9040,603
1867,9041,4620
1868,9042,2318
1869,9043,121
1870,9044,149
1871,9045,668
1872,9046,338
1874,9048,999
1875,9049,203
1876,9050,344
1877,9051,289
1878,9052,3721
1879,9053,306
1882,9056,256
1883,9057,122
1884,9058,180
1885,9059,643
1886,9060,3477
1887,9061,984
1888,9062,1987
1889,9063,339
1890,9064,764
1891,9065,764
1892,9066,294
1893,9067,964
1894,9068,590
1895,9069,1744
1896,9070,444
1897,9074,3428
1898,9076,344
1899,9078,193
1900,9079,549
1901,9080,191
1902,9081,191
1903,9086,1121
1904,9096,386
1905,9097,390
1906,9100,444
1907,9101,70
1908,9102,372
1909,9103,52
1910,9104,1438
1911,9104,1438
1912,9113,106
1913,9119,705
1915,9127,378
1916,9149,980
1917,9149,980
1918,9153,402
1921,9163,603
1922,9164,590
1923,9165,609
1924,9166,395
1925,9167,625
1926,9170,596
1927,9171,360
1928,9183,311
1929,9192,327
1931,9222,1092
1932,9224,667
1933,9241,595
1935,9262,681
1936,9269,4077
1937,9270,141
1938,9271,539
1939,9277,402
1940,9278,608
1941,9279,526
1942,9286,343
1943,9287,519
1944,9289,80
1945,9294,76
1946,9295,253
1947,9313,675
1948,9315,502
1949,9319,1090
1950,9323,3847
1951,9324,555
1953,9353,882
1954,9361,948
1956,9416,809
1957,9418,987
1961,9448,210
1962,9452,391
1963,9453,205
1964,9462,40
1965,9467,792
1966,9468,503
1967,9469,985
1968,9470,85
1969,9471,344
1970,9472,905
1971,9473,276
1972,9474,294
1973,9476,122
1974,9477,252
1975,9478,105
1976,9481,615
1977,9482,603
1978,9483,15
1980,9488,577
1981,9493,319
1982,9495,1002
1985,9499,473
1986,9500,860
1987,9501,473
1990,9511,28
1991,9535,185
1992,9536,191
1993,9537,185
1994,9538,185
1995,9539,191
1996,9540,185
1997,9541,185
1998,9542,191
1999,9543,185
2000,9544,191
2001,9545,191
2002,9546,191
2003,9547,191
2004,9548,191
2005,9549,191
2006,9550,191
2007,9551,191
2008,9552,191
2009,9557,195
2010,9560,488
2011,9561,25
2012,9562,335
2013,9563,860
2014,9564,349
2015,9566,5063
2016,9567,3339
2017,9569,4137
2018,9570,5633
2019,9576,316
2020,9583,1016
2021,9586,674
2022,9587,427
2023,9588,2881
2025,9590,292
2026,9595,693
2027,9596,693
2028,9598,445
2029,9599,4161
2031,9602,2982
2032,9610,765
2033,9611,334
2034,9613,237
2035,9614,237
2036,9624,437
2038,9629,1979
2039,9648,345
2040,9649,240
2041,9652,569
2042,9658,2970
2043,9661,1525
2044,9661,1525
2046,9697,313
2056,9894,1206
2057,9895,451
2058,9896,451
2059,9897,451
2060,9900,347
2061,9902,451
2062,9903,449
2063,9907,1333
2064,9910,451
2065,9911,429
2066,9912,415
2067,9913,415
2068,9918,451
2069,9919,310
2085,9936,451
2086,9937,451
2087,9938,415
2088,9939,415
2089,9940,415
2091,9942,341
2099,9952,656
2100,9953,656
2101,9954,656
2109,9962,503
2110,9963,25
2112,9965,415
2113,9966,415
2114,9970,136
2115,9971,451
2116,9972,450
2117,9973,451
2118,9974,180
2119,9975,519
2122,9978,446
2123,9979,928
2124,9980,947
2125,9981,970
2126,9982,418
2127,9983,344
2128,9984,791
2129,9985,344
2130,9986,344
2131,9987,795
2132,9988,786
2133,9989,344
2134,9990,344
2135,9991,799
2136,9992,797
2137,9993,792
2138,9994,781
2139,9995,540
2141,10001,383
2142,10007,282
2144,10013,168
2145,10016,105
2146,10022,292
2147,10024,1658
2148,10025,356
2149,10028,1327
2150,10035,1153
2151,10037,458
2152,10038,203
2153,10039,203
2154,10040,203
2155,10041,203
2156,10042,203
2157,10043,203
2158,10044,203
2159,10045,203
2160,10046,203
2161,10047,203
2162,10048,203
2163,10049,203
2164,10050,203
2165,10051,203
2166,10052,1286
2167,10053,553
2169,10063,1121
2170,10069,575
2171,10070,401
2172,10073,326
2174,10075,418
2175,10076,970
2176,10078,970
2178,10080,971
2180,10083,228
2181,10084,237
2185,10095,130
2186,10097,463
2187,10098,575
2188,10100,575
2189,10101,861
2191,10105,968
2193,10111,575
